ts_epoch,ts,offset,step,score,monitor_id,monitor_name,rtt,leap,error
1765233944,2025-12-08 22:45:44,-0.000802683,1,20,98,esmad1-3strqkc,135.888,,
1765233939,2025-12-08 22:45:39,-0.001457096,1,19.999998093,304,jphnd2-3strqkc,161.454,,
1765233891,2025-12-08 22:44:51,,1,20,24,recentmedian,,,
1765233891,2025-12-08 22:44:51,0.000562231,1,19.999992371,289,rupee1-38crthf,159.863,,
1765233889,2025-12-08 22:44:49,0.002081488,1,20,308,ustul1-762zq1,32.206,,
1765233836,2025-12-08 22:43:56,0.001698948,1,20,351,rootp1-3mf5y85,153.118,,
1765233826,2025-12-08 22:43:46,0.000399414,1,20,87,usewr3-1a6a7hp,38.832,,
1765233778,2025-12-08 22:42:58,-0.000057671,1,20,112,usiad1-1tcp71g,33.984,,
1765233772,2025-12-08 22:42:52,-0.000044997,1,20,129,usmci1-3strqkc,50.424,,
1765233772,2025-12-08 22:42:52,0.001863861,1,20,170,usday6-1tcp71g,58.408,,
1765233771,2025-12-08 22:42:51,-0.008526429,1,19.431884766,345,sgsin1-1fcy378,241.054,,
1765233720,2025-12-08 22:42:00,-0.000516808,1,20,337,aumel1-1fcy378,225.68,,
1765233713,2025-12-08 22:41:53,0.000162249,1,20,132,usdtw1-1tcp71g,60.978,,
1765233711,2025-12-08 22:41:51,-0.000053661,1,20,277,usdca1-3grrbhg,39.822,,
1765233663,2025-12-08 22:41:03,-0.001324893,1,19.999998093,92,frmrs1-3strqkc,121.485,,
1765233660,2025-12-08 22:41:00,0.001377769,1,20,174,usmdw1-2trgvm8,38.471,,
1765233659,2025-12-08 22:40:59,0.000105429,1,19.999917984,323,gbsou1-1j78t0p,114.571,,
1765233650,2025-12-08 22:40:50,-0.000279124,1,20,310,usdfw1-762zq1,33.55,,
1765233599,2025-12-08 22:39:59,-0.000394219,1,20,330,mdrmo1-1mvmxwb,157.98,,
1765233597,2025-12-08 22:39:57,0.002818739,1,20,333,frory1-1x7260p,119.5,,
1765233544,2025-12-08 22:39:04,-0.005470482,1,20,268,trist1-3drzsgk,159.248,,
1765233535,2025-12-08 22:38:55,0.001955003,1,20,308,ustul1-762zq1,31.795,,
1765233480,2025-12-08 22:38:00,0.024707652,1,19.997049332,339,zawkf1-1ynx3ss,230.927,,
1765233478,2025-12-08 22:37:58,,1,20,24,recentmedian,,,
1765233478,2025-12-08 22:37:58,0.000524418,1,20,87,usewr3-1a6a7hp,38.461,,
1765233380,2025-12-08 22:36:20,0.000698515,1,19.439622879,110,mykul1-3strqkc,250.758,,
1765233379,2025-12-08 22:36:19,0.00094168,1,20,218,rusvx3-r6np0t,185.264,,
1765233378,2025-12-08 22:36:18,-0.000043334,1,20,277,usdca1-3grrbhg,40.74,,
1765233320,2025-12-08 22:35:20,0.000916865,1,20,174,usmdw1-2trgvm8,37.916,,
1765233318,2025-12-08 22:35:18,-0.000376821,1,20,112,usiad1-1tcp71g,33.876,,
1765233315,2025-12-08 22:35:15,-0.000397142,1,20,310,usdfw1-762zq1,33.736,,
1765233259,2025-12-08 22:34:19,0.001744974,1,20,354,frlbg1-3mf5y85,108.569,,
1765233188,2025-12-08 22:33:08,0.001868517,1,20,308,ustul1-762zq1,31.986,,
1765233188,2025-12-08 22:33:08,-0.002024959,1,20,165,kemba1-1a6a7hp,227.569,,
1765233186,2025-12-08 22:33:06,0.002584932,1,20,291,belgg3-19sfa9p,122.661,,
1765233136,2025-12-08 22:32:16,0.000325465,1,20,87,usewr3-1a6a7hp,38.525,,
1765233136,2025-12-08 22:32:16,,1,20,24,recentmedian,,,
1765233136,2025-12-08 22:32:16,-0.001152219,1,19.445608139,178,sgsin1-3strqkc,239.329,,
1765233068,2025-12-08 22:31:08,0.000339331,1,20,277,usdca1-3grrbhg,40.157,,
1765232985,2025-12-08 22:29:45,-0.000321345,1,20,112,usiad1-1tcp71g,34.122,,
1765232974,2025-12-08 22:29:34,-0.000408714,1,20,310,usdfw1-762zq1,33.879,,
1765232926,2025-12-08 22:28:46,-0.000890501,1,20,261,noosl1-9zpfzp,141.276,,
1765232873,2025-12-08 22:27:53,0.001007448,1,20,308,ustul1-762zq1,34.927,,
1765232871,2025-12-08 22:27:51,0.001261024,1,20,174,usmdw1-2trgvm8,38.545,,
1765232819,2025-12-08 22:26:59,-0.003535144,1,19.999952316,298,uarwn2-1bzrttg,146.731,,
1765232819,2025-12-08 22:26:59,0.000258383,1,20,87,usewr3-1a6a7hp,38.29,,
1765232764,2025-12-08 22:26:04,,1,20,24,recentmedian,,,
1765232764,2025-12-08 22:26:04,-0.000143363,1,20,277,usdca1-3grrbhg,40.943,,
1765232705,2025-12-08 22:25:05,-0.003660467,1,19.999952316,272,uarwn1-1bzrttg,146.037,,
1765232652,2025-12-08 22:24:12,-0.003641532,1,19.981580734,243,cayyj1-ged71j,97.971,,
